Gnee,median
ADA,-0.008180601
AKT3,0.125904171
TANK,0.022919336
CD24,0.064247973
CDH5,-0.079509084
MICA,0.156459546
EBI3,0.096591371
KLRG1,0.036372192
CD96,0.062966439
CDKN1A,0.080220425
LILRB2,0.167836662
TLR6,0.096230202
CCL26,-0.00208994
NOD1,0.055345866
TAB1,0.030692575
MERTK,-0.005507171
CEBPB,0.011083611
ATG7,-0.033166578
BATF,0.113002766
ANP32B,-0.040695271
CXCL13,0.124208485
GNLY,-0.041192811
IFITM2,0.097581661
SH2B2,-0.040522705
TXNIP,-0.026454287
CXCR6,0.092424399
TNFSF13B,0.096129545
USP39,-0.064847287
CD3EAP,-0.099344586
LILRB1,0.073114897
SF3A3,-0.149390394
SPINK5,0.103231402
IL24,-0.016762657
TLK2,-0.040373825
LILRA1,0.067430397
CHIT1,-0.134386406
NLRP3,0.022850412
TIRAP,0.010324614
CHUK,0.017073344
SLAMF6,0.097219497
TNFRSF13C,0.02880483
IL22RA2,0.016512385
SH2D1B,0.115635271
CLU,0.062433687
CMA1,-0.02688962
CCR1,0.090852513
CCR3,0.018118241
CCR4,0.069488193
CCR5,0.132066035
CCR6,-0.003034938
CCR7,0.038951497
CMKLR1,0.114744031
COL3A1,0.018521368
CR1,0.056395785
CR2,-0.005975251
CREB1,-0.026527905
ATF2,0.074751142
CREBBP,0.075715883
MAPK14,-0.043028082
CSF1,0.050234849
CSF1R,0.113168239
CSF2,0.023055708
CSF2RB,0.064864164
CSF3,-0.197265767
CSF3R,0.023389537
IL34,0.051562635
TICAM1,0.006627217
IL23R,0.060398097
CTLA4,0.175506983
CTSG,0.051850265
CTSH,0.088143742
CTSL,-0.003898399
BTLA,0.035744511
CTSS,0.02263728
CTSW,0.025980786
CX3CR1,-0.015352098
CYBB,0.093885185
CYLD,-0.028124863
CD55,-0.045978986
DEFB1,0.083911015
CFD,-0.095340731
CLEC4C,0.014654902
DMBT1,-0.172872225
DPP4,0.068511521
DUSP4,-0.001286691
DUSP6,-0.079309767
EGR1,-0.039697723
EGR2,0.087119202
ELANE,-0.097431006
A2M,-0.08330519
CC2D1B,-0.004078344
ELK1,0.008800586
TIGIT,0.136568102
ENG,-0.028010896
TUBB,-0.132149666
EP300,0.069799197
ERBB2,-0.000314434
ERCC3,0.064849456
ALAS1,-0.080510283
ETS1,0.037412655
EWSR1,0.041075914
ALCAM,-0.019382121
F2RL1,0.152697495
F12,-0.02932543
F13A1,-0.016077227
FCER1A,0.106949629
MS4A2,0.072799299
FCER1G,0.140384234
FCER2,-0.027934128
FCGR1A,0.172901867
FCGR2A,0.022096565
FCGR2B,0.147075511
FCGR3A,0.112855136
FGFR3,0.063045815
SBNO2,0.030877064
KLRK1,0.127939463
ABCF1,-0.108628812
FOXJ1,0.006141948
FLT3,0.058885901
FLT3LG,0.087374408
DOCK9,-0.025626834
FN1,0.051090306
TNFRSF13B,0.056395742
FOS,0.01413183
PRAME,-0.231311097
LILRA4,0.052895273
ZNF346,0.113586862
FPR2,0.034865728
DDX58,-0.037486493
CLEC5A,-0.020537783
LY96,0.099907358
ZKSCAN5,-0.042502329
TMEFF2,0.002823093
IL17RA,0.081122352
ABL1,-0.096442178
FUT5,0.069267678
FUT7,0.03486197
FYN,-0.016939773
G6PD,-0.186619066
AMBP,-0.233514524
CNOT10,-0.031105467
GATA3,0.272274772
IL1RAPL2,0.066570186
CYFIP2,0.042017555
LAMP3,0.084601672
GPI,-0.025934072
XCR1,0.012505231
CXCR3,0.12419553
PYCARD,0.077589769
TBK1,-0.013279998
CD274,-0.116228198
CXCL1,-0.052557673
CXCL2,0.045599807
CXCL3,0.093671106
GTF3C1,-0.13630489
BLNK,0.005192827
ICOS,0.170794427
GUSB,-0.069299433
GZMH,0.041403561
TBX21,0.12694047
GZMA,0.080144497
GZMB,0.087659565
GZMK,0.076056513
GZMM,0.129957187
ANXA1,-0.041616732
HCK,0.138193904
CD209,0.026302857
MNX1,0.209684254
MR1,-0.05719059
HMGB1,-0.049155468
FOXA1,0.313554462
HPRT1,-0.051862061
AIRE,-0.018310616
HRAS,-0.059775801
HSD11B1,0.030300692
BIRC5,0.054182156
ICAM1,0.108142355
ICAM2,-0.018292609
ICAM3,-0.073570831
ICAM4,0.090669951
IRF8,0.136712969
CFI,0.031216935
IFI16,0.098612181
IFI27,-0.060722099
IFI35,-0.003461721
IFIT2,-0.016784412
IFIT1,-0.006208971
IFNAR1,-0.04358473
IFNAR2,0.073525813
IFNG,-0.054351226
IFNGR1,0.013738718
APOE,0.114313978
IGF1R,0.051203142
IGF2R,-0.09061407
APP,0.103140468
TICAM2,0.077656637
LILRA5,0.147386308
FAS,0.072674671
IKBKB,-0.023735229
IL1A,0.117171632
IL1B,0.00480889
IL1R1,0.101362816
IL1RAP,-0.14654914
IL1RN,0.155191731
IL2RA,0.088183196
IL2RB,0.114389117
IL2RG,0.046383377
IL3RA,-0.028512318
IL4R,0.117036184
IL5RA,0.106744539
IL6,0.015841061
IL6R,0.058718408
IL6ST,-0.029095814
IL7,0.07484904
IL7R,0.072676894
CXCR1,0.031362097
CXCR2,0.09337181
IL10,0.11709169
IL10RA,0.12574665
IL11,0.009335985
IL11RA,0.065916103
IL12A,0.083775813
IL12B,0.074870053
IL12RB1,0.092570851
IL12RB2,0.077993884
IL13RA1,-0.046109814
IL13RA2,0.019070393
IL15,-0.02984315
IL15RA,0.076736597
IL16,0.070331856
TNFRSF9,0.120550353
IL18,0.05633828
ILF3,-0.128169987
IDO1,0.036517869
CXCL10,0.028801884
INPP5D,0.035997415
IRAK1,-0.097239286
ITGA6,0.026731399
IRAK2,0.059716176
IRF1,-0.02821415
IRF2,0.053951725
IRF3,3.10E-05
IRF4,0.083420766
IRF5,0.066118143
IRF7,-0.010601151
ISG20,0.005858101
ITGA1,0.005618831
ITGA2,-0.021653757
ITGA2B,-0.040521631
ITGA4,0.031158207
ITGA5,-0.045438405
ITGAE,-0.155492976
ITGAL,0.029740873
ITGAM,0.122476316
ITGAX,0.214987937
ITGB1,-0.099006026
ITGB2,0.120773399
ITGB3,-0.133817053
ITGB4,0.144491794
ITK,0.085780909
JAK1,-0.050409419
JAK2,0.0255352
JAK3,0.060174833
KIR3DL1,-0.213103574
