"","gene","expr"
"1","A2M",-0.041803505
"2","ABCB1",-0.033613384
"3","ABL1",-0.28940754
"4","ADA",0
"5","ADORA2A",0
"6","AICDA",-0.791806391
"7","AIRE",1.156232334
"8","AKT3",-0.311453568
"9","ALCAM",2.360539655
"10","AMBP",0.60540674
"11","AMICA1",0
"12","ANP32B",-0.578382316
"13","ANXA1",-0.155013172
"14","APOE",-0.064619847
"15","APP",0.287643644
"16","ARG1",-0.337411784
"17","ARG2",-0.674164616
"18","ATF1",-2.036679032
"19","ATF2",-0.905123232
"20","ATG10",-2.158298833
"21","ATG12",-0.931187401
"22","ATG16L1",1.547758517
"23","ATG5",-0.979185331
"24","ATG7",0.590413787
"25","ATM",-0.162365345
"26","AXL",-0.020773326
"27","BAGE",0
"28","BATF",0.936663941
"29","BAX",0.894005347
"30","BCL10",-1.372896288
"31","BCL2",0.333174624
"32","BCL2L1",1.304645083
"33","BCL6",-1.33212483
"34","BID",1.019203805
"35","BIRC5",-0.377201998
"36","BLK",-0.812168332
"37","BLNK",-0.825664934
"38","BMI1",-1.471194462
"39","BST1",1.27859275
"40","BST2",0.862176878
"41","BTK",-0.892123843
"42","BTLA",-0.51898556
"43","C1QA",-1.128357933
"44","C1QB",-1.374529676
"45","C1QBP",0.031139249
"46","C1R",-0.170560623
"47","C1S",0.237927571
"48","C2",-0.791751956
"49","C3",-0.725924686
"50","C3AR1",-0.896436427
"51","C4B",0.039502772
"52","C4BPA",0.303525278
"53","C5",-0.16583224
"54","C6",0.023986197
"55","C7",-0.069656229
"56","C8A",0
"57","C8B",0
"58","C8G",0
"59","C9",0.864868043
"60","CAMP",-0.054625898
"61","CARD11",0.051255293
"62","CARD9",2.642484026
"63","CASP1",-1.214548535
"64","CASP10",0.005952438
"65","CASP3",-0.671676298
"66","CASP8",-0.397843967
"67","CCL1",0
"68","CCL11",-0.168213134
"69","CCL13",-1.356277245
"70","CCL14",0.482536812
"71","CCL15",-0.073966111
"72","CCL16",0
"73","CCL17",-0.876148617
"74","CCL18",-0.782714207
"75","CCL19",-0.996910724
"76","CCL2",-1.244115119
"77","CCL20",0.230392284
"78","CCL21",-0.492189577
"79","CCL22",-0.383977222
"80","CCL23",0.610131021
"81","CCL24",-0.612553461
"82","CCL25",0
"83","CCL26",-0.513316892
"84","CCL27",0
"85","CCL28",-0.247399925
"86","CCL3",-0.822893896
"87","CCL3L1",0
"88","CCL4",-0.815429243
"89","CCL5",-0.523468253
"90","CCL7",-0.46089382
"91","CCL8",-0.956340757
"92","CCND3",0.516533057
"93","CCR1",-1.618121345
"94","CCR2",-0.743665124
"95","CCR3",0.460439322
"96","CCR4",-0.905388174
"97","CCR5",-1.082380049
"98","CCR6",-1.906481744
"99","CCR7",0.997264313
"100","CCR9",0
"101","CCRL2",-0.177959089
"102","CD14",-0.5759867
"103","CD160",0
"104","CD163",-1.184430524
"105","CD164",-0.685782687
"106","CD180",-0.973330286
"107","CD19",-0.784252435
"108","CD1A",-0.808230866
"109","CD1B",-1.689389905
"110","CD1C",-0.569516134
"111","CD1D",-0.340926634
"112","CD1E",-0.636084258
"113","CD2",-0.815866261
"114","CD200",-0.826356052
"115","CD207",-0.285928039
"116","CD209",-0.950083786
"117","CD22",-0.748793776
"118","CD24",0.29363258
"119","CD244",0.104146824
"120","CD247",-0.413732317
"121","CD27",-0.816716388
"122","CD274",-0.853216583
"123","CD276",0.399709459
"124","CD28",-0.833554699
"125","CD33",-1.411259889
"126","CD34",-0.284387047
"127","CD36",-0.728907285
"128","CD37",-0.659018993
"129","CD38",-1.391345826
"130","CD3D",-0.694485452
"131","CD3E",-0.614110229
"132","CD3EAP",0.903390412
"133","CD3G",-0.609434734
"134","CD4",-0.655704584
"135","CD40",-0.282136951
"136","CD40LG",-0.152858261
"137","CD44",-1.603568567
"138","CD46",0.530735909
"139","CD47",-0.53171535
"140","CD48",-0.450282453
"141","CD5",-0.7589614
"142","CD53",-0.914900123
"143","CD55",0.158162874
"144","CD58",-1.539147166
"145","CD59",-0.772912779
"146","CD6",-0.677701724
"147","CD63",0.112487129
"148","CD68",-1.96907222
"149","CD7",-0.848867294
"150","CD70",-0.360842183
"151","CD74",-1.358190395
"152","CD79A",-0.615176182
"153","CD79B",-1.003776961
"154","CD80",-1.803885643
"155","CD81",0.629672094
"156","CD83",-2.018483972
"157","CD84",-1.672541311
"158","CD86",-1.019509151
"159","CD8A",-0.565521728
"160","CD8B",0.027991366
"161","CD9",0.539010517
"162","CD96",-0.009801279
"163","CD97",0
"164","CD99",0.842268991
"165","CDH1",0.391641503
"166","CDH5",-0.074286303
"167","CDK1",-1.36152327
"168","CDKN1A",0.635429493
"169","CEACAM1",-0.459936954
"170","CEACAM6",-0.706805096
"171","CEACAM8",0
"172","CEBPB",-0.090821581
"173","CFB",-0.63627464
"174","CFD",1.567923294
"175","CFI",-0.758713169
"176","CFP",-0.03116664
"177","CHIT1",-0.327705857
"178","CHUK",-1.656485606
"179","CKLF",-1.382993365
"180","CLEC4A",-0.981448851
"181","CLEC4C",-0.399848881
"182","CLEC5A",-1.383651535
"183","CLEC6A",-0.779187262
"184","CLEC7A",-0.43939446
"185","CLU",-0.401175016
"186","CMA1",-1.125081949
"187","CMKLR1",-1.552655176
"188","COL3A1",0.113750292
"189","COLEC12",-0.47083011
"190","CR1",-0.415643248
"191","CR2",-1.344975851
"192","CREB1",-1.600624827
"193","CREB5",-1.028399302
"194","CREBBP",-1.234925392
"195","CRP",0
"196","CSF1",-1.122659528
"197","CSF1R",-1.487287388
"198","CSF2",-0.123100578
"199","CSF2RB",0.198840415
"200","CSF3",-0.811346106
"201","CSF3R",0.289779218
"202","CT45A1",0
"203","CTAG1B",0
"204","CTAGE1",-1.267175494
"205","CTCFL",0
"206","CTLA4",-0.666918067
"207","CTSG",-0.19778059
"208","CTSH",0.382132378
"209","CTSL",0.363487587
"210","CTSS",-1.041729465
